,Summary,Season,Wedding_destination,Guest,Location,Describing_words,Priority_1,Priority_2,Priority_3,Estimate,Attire_Accessories,Beauty_spa,Entertainment,Flowers_Decorations,Gifts,invitations,Photography,Planner,venue_Catering_rental
304,"How much does a spring wedding in Berkeley CA with 25 to 50 guests cost? The wedding is at a garden or park. The type of wedding is Garden, Romantic, Rustic. The wedding color theme is Greens. The estimated cost for this wedding is $17,660.","
            
                Spring Wedding
                
                
            
        ","
        
            Berkeley CA
            
            
        
    ","
        
        
            
                    This estimate is based on having 38 guests with a range of 25 to 50 guests. Adding a single guest will likely add $465 to the total amount spent.
                    
                    
                
        

        ","
                
                a garden or park
            ","
    	    
            
            
                Greens
            
        ",,,,"
$17,660 is the Estimated Wedding Cost
","$2,351",$111,$218,$353,"$1,343","$5,635","$2,551",$151,$124
305,"How much does a summer wedding in Baton Rouge LA with 150 to 200 guests cost? The wedding is at a country club or golf course. The type of wedding is Elegant. The wedding color theme is Black. The estimated cost for this wedding is $51,448.","
            
                Summer Wedding
                
                
            
        ","
        
            Baton Rouge LA
            
            
        
    ","
        
        
            
                    This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $294 to the total amount spent.
                    
                    
                
        

        ","
                
                a country club or golf course
            ","
    	    
            
            
                Black
            
        ",,,,"
$51,448 is the Estimated Wedding Cost
","$2,774",$696,$162,$255,"$4,015","$10,991","$2,510","$3,034",$883
306,"How much does a wedding with 25 to 50 guests cost? The wedding is at a resort or hotel. The type of wedding is Destination. The wedding color theme is Greens. The estimated cost for this wedding is $26,963.","
            
                None specified
                
            
        ","
        
            None specified
            
            
        
    ","
        
        
            
                    This estimate is based on having 38 guests with a range of 25 to 50 guests. Adding a single guest will likely add $710 to the total amount spent.
                    
                    
                
        

        ","
                
                a resort or hotel
            ","
    	    
            
            
                Greens
            
        ",,,,"
$26,963 is the Estimated Wedding Cost
","$4,139",$139,$353,"$5,733","$1,649","$6,376","$2,358",$179,$117
307,"How much does a summer wedding in Nashville TN with 150 to 200 guests cost? The ceremony is at a church or other place of worship and reception is at a historical building. The type of wedding is Elegant, Formal, Romantic. The wedding color theme is Gold. The estimated cost for this wedding is $53,622.","
            
                Summer Wedding
                
                
            
        ","
        
            Nashville TN
            
            
        
    ","
        
        
            
                    This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $306 to the total amount spent.
                    
                    
                
        

        ","
                
                a church or other place of worship
            ","
    	    
            
            
                Elegant, Formal, Romantic 
            
        ","Entertainment (DJ, Live Band, Musician/s, etc.)","Event Food Service, Catering, Bar Service",Event Location/Venue,"
$53,622 is the Estimated Wedding Cost
","$1,959",$727,$248,$251,"$4,315","$11,324","$2,590","$3,341","$1,008"
308,"How much does a winter wedding in Raleigh NC with 150 to 200 guests cost? The ceremony is at a church or other place of worship and reception is at an event facility. The type of wedding is DIY, Fun, Traditional. The wedding color theme is Blues. The estimated cost for this wedding is $39,844.","
            
                Winter Wedding
                
                
            
        ","
        
            Raleigh NC
            
            
        
    ","
        
        
            
                    This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $228 to the total amount spent.
                    
                    
                
        

        ","
                
                a church or other place of worship
            ","
    	    
            
            
                DIY, Fun, Traditional 
            
        ","Event Food Service, Catering, Bar Service",Event Location/Venue,Flowers & Decorations,"
$39,844 is the Estimated Wedding Cost
","$2,965",$630,$180,$270,$994,"$10,307","$2,278","$1,320",$785
309,"How much does a summer wedding in New York NY with 150 to 200 guests cost? The wedding is at an event facility. The type of wedding is Traditional. The wedding color theme is Ivory. The estimated cost for this wedding is $37,933.","
            
                Summer Wedding
                
                
            
        ","
        
            New York NY
            
            
        
    ","
        
        
            
                    This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $217 to the total amount spent.
                    
                    
                
        

        ","
                
                an event facility
            ","
    	    
            
            
                Ivory
            
        ",,,,"
$37,933 is the Estimated Wedding Cost
","$3,111",$676,$326,"$1,772","$7,465","$13,926","$3,566",$893,$709
310,"How much does a fall wedding in Wenatchee WA with less than 25 guests cost? The type of wedding is Romantic. The wedding color theme is Pinks. The estimated cost for this wedding is $9,967.","
            
                Fall Wedding
                
                
            
        ","
        
            Wenatchee WA
            
            
        
    ","
        
        
            
                    This estimate is based on having 15 guests with a range of less than 25 guests. Adding a single guest will likely add $664 to the total amount spent.
                    
                    
                
        

        ","
    	    
            
            
                Pinks
            
        ",,,,,"
$9,967 is the Estimated Wedding Cost
","$2,659",$58,$225,$294,$521,"$1,536","$1,468",$73,$52
311,"How much does a summer wedding in Los Angeles CA with 150 to 200 guests cost? The wedding is at a resort or hotel. The type of wedding is Beach, Formal, Traditional. The wedding color theme is Black. The estimated cost for this wedding is $42,918.","
            
                Summer Wedding
                
                
            
        ","
        
            Los Angeles CA
            
            
        
    ","
        
        
            
                    This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $245 to the total amount spent.
                    
                    
                
        

        ","
                
                a resort or hotel
            ","
    	    
            
            
                Black
            
        ",,,,"
$42,918 is the Estimated Wedding Cost
","$3,532",$762,$212,$330,"$5,701","$8,284","$2,718","$3,618",$943
312,"How much does a summer wedding in Chicago IL with 100 to 150 guests cost? The wedding is at a lakefront. The type of wedding is Elegant. The wedding color theme is Greens. The estimated cost for this wedding is $24,135.","
            
                Summer Wedding
                
                
            
        ","
        
            Chicago IL
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $193 to the total amount spent.
                    
                    
                
        

        ","
                
                a lakefront
            ","
    	    
            
            
                Greens
            
        ",,,,"
$24,135 is the Estimated Wedding Cost
",$321,$398,$537,"$6,828","$8,230","$1,451",$348,$98,"$4,671"
313,"How much does a fall wedding in Temecula CA with 100 to 150 guests cost? The wedding is at a winery. The type of wedding is Fun, Romantic, Rustic. The wedding color theme is Champagne. The estimated cost for this wedding is $35,606.","
            
                Fall Wedding
                
                
            
        ","
        
            Temecula CA
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $285 to the total amount spent.
                    
                    
                
        

        ","
                
                a winery
            ","
    	    
            
            
                Champagne
            
        ",,,,"
$35,606 is the Estimated Wedding Cost
","$5,012",$579,$188,$317,"$1,489","$7,740","$1,980","$3,077","$1,005"
314,"How much does a spring wedding in suisun with 50 to 100 guests cost? The wedding is at some other location. The type of wedding is DIY, Simple, Vintage. The wedding color theme is Black. The estimated cost for this wedding is $22,809.","
            
                Spring Wedding
                
                
            
        ","
        
            suisun
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $304 to the total amount spent.
                    
                    
                
        

        ","
                
                some other location
            ","
    	    
            
            
                Black
            
        ",,,,"
$22,809 is the Estimated Wedding Cost
","$3,127",$255,$338,"$1,555","$3,360","$7,806","$2,201",$321,$245
315,"How much does a spring wedding in Winston Salem NC with 25 to 50 guests cost? The wedding is at a farm or barn. The type of wedding is Casual, Garden, Intimate. The wedding color theme is Greens. The estimated cost for this wedding is $13,824.","
            
                Spring Wedding
                
                
            
        ","
        
            Winston Salem NC
            
            
        
    ","
        
        
            
                    This estimate is based on having 38 guests with a range of 25 to 50 guests. Adding a single guest will likely add $364 to the total amount spent.
                    
                    
                
        

        ","
                
                a farm or barn
            ","
    	    
            
            
                Greens
            
        ",,,,"
$13,824 is the Estimated Wedding Cost
","$1,277",$116,$144,$326,"$1,063","$2,507","$1,337",$175,$168
316,"How much does a fall wedding in Plano TX with 50 to 100 guests cost? The ceremony is at a church or other place of worship and reception is at an event facility. The type of wedding is Traditional, Modern, Farm/Barn. The wedding color theme is Champagne. The estimated cost for this wedding is $25,878.","
            
                Fall Wedding
                
                
            
        ","
        
            Plano TX
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $345 to the total amount spent.
                    
                    
                
        

        ","
                
                a church or other place of worship
            ","
    	    
            
            
                Traditional, Modern, Farm/Barn 
            
        ","Event Food Service, Catering, Bar Service",Event Location/Venue,Flowers & Decorations,"
$25,878 is the Estimated Wedding Cost
","$3,000",$247,$272,"$2,567","$6,414",$820,$298,$259,"$1,726"
317,"How much does a summer wedding in Seattle WA with 100 to 150 guests cost? The wedding is at a winery. The type of wedding is Fun, Rustic, Simple. The wedding color theme is Champagne. The estimated cost for this wedding is $37,813.","
            
                Summer Wedding
                
                
            
        ","
        
            Seattle WA
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $303 to the total amount spent.
                    
                    
                
        

        ","
                
                a winery
            ","
    	    
            
            
                Champagne
            
        ",,,,"
$37,813 is the Estimated Wedding Cost
","$3,127",$495,$285,$320,"$1,302","$7,947","$1,669","$2,168",$400
318,"How much does a summer wedding in Clarksville AR with 150 to 200 guests cost? The wedding is at a lakefront. The type of wedding is Elegant, Romantic, Traditional. The wedding color theme is White. The estimated cost for this wedding is $37,589.","
            
                Summer Wedding
                
                
            
        ","
        
            Clarksville AR
            
            
        
    ","
        
        
            
                    This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $215 to the total amount spent.
                    
                    
                
        

        ","
                
                a lakefront
            ","
    	    
            
            
                White
            
        ",,,,"
$37,589 is the Estimated Wedding Cost
","$3,455","$1,205",$209,$777,"$10,727","$6,210","$3,455","$1,256",$679
319,"How much does a spring wedding in Tucson AZ with 50 to 100 guests cost? The wedding is at a garden or park. The type of wedding is Casual, Rustic. The wedding color theme is Browns. The estimated cost for this wedding is $14,543.","
            
                Spring Wedding
                
                
            
        ","
        
            Tucson AZ
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $194 to the total amount spent.
                    
                    
                
        

        ","
                
                a garden or park
            ","
    	    
            
            
                Browns
            
        ",,,,"
$14,543 is the Estimated Wedding Cost
","$1,692",$239,"$3,804","$3,734",$860,"$1,578",$205,"$2,131",
320,"How much does a fall wedding in Tulsa OK with 50 to 100 guests cost? The wedding is at a private residence. The type of wedding is Elegant, Formal, Experience. The wedding color theme is Greens. The estimated cost for this wedding is $30,443.","
            
                Fall Wedding
                
                
            
        ","
        
            Tulsa OK
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $406 to the total amount spent.
                    
                    
                
        

        ","
                
                a private residence
            ","
    	    
            
            
                Greens
            
        ",,,,"
$30,443 is the Estimated Wedding Cost
","$1,156",$246,$244,"$3,192","$3,469","$4,133","$1,713",$336,$350
321,"How much does a spring wedding in Madison WI with 50 to 100 guests cost? The wedding is at a garden or park. The type of wedding is Fun, Romantic, Intimate.  The estimated cost for this wedding is $19,172.","
            
                Spring Wedding
                
                
            
        ","
        
            Madison WI
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $256 to the total amount spent.
                    
                    
                
        

        ","
                
                a garden or park
            ","
    	    
            
            
                None specified
            
        ",,,,"
$19,172 is the Estimated Wedding Cost
","$2,116",$212,$99,$264,"$3,769","$2,341",$857,$180,$201
322,"How much does a fall wedding in Brooklyn NY with 50 to 100 guests cost? The wedding is at an event facility. The type of wedding is Elegant, Unique, Modern.  The estimated cost for this wedding is $34,371.","
            
                Fall Wedding
                
                
            
        ","
        
            Brooklyn NY
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $458 to the total amount spent.
                    
                    
                
        

        ","
                
                an event facility
            ","
    	    
            
            
                None specified
            
        ",,,,"
$34,371 is the Estimated Wedding Cost
","$3,037",$247,$330,"$1,358","$4,435","$8,356","$1,816",$336,$338
323,"How much does a summer wedding in Mobile AL with 50 to 100 guests cost? The ceremony is at a church or other place of worship and reception is at an event facility. The type of wedding is Elegant, Romantic, Experience. The wedding color theme is Silver. The estimated cost for this wedding is $19,364.","
            
                Summer Wedding
                
                
            
        ","
        
            Mobile AL
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $258 to the total amount spent.
                    
                    
                
        

        ","
                
                a church or other place of worship
            ","
    	    
            
            
                Elegant, Romantic, Experience 
            
        ","Entertainment (DJ, Live Band, Musician/s, etc.)","Event Food Service, Catering, Bar Service",Photography & Video,"
$19,364 is the Estimated Wedding Cost
","$2,018",$264,"$3,339","$4,066","$3,945",$939,$343,$469,"$2,342"
324,"How much does a summer wedding in Henderson TN with 100 to 150 guests cost? The wedding is at a farm or barn. The type of wedding is Garden, Rustic, Simple. The wedding color theme is Browns. The estimated cost for this wedding is $17,959.","
            
                Summer Wedding
                
                
            
        ","
        
            Henderson TN
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $144 to the total amount spent.
                    
                    
                
        

        ","
                
                a farm or barn
            ","
    	    
            
            
                Browns
            
        ",,,,"
$17,959 is the Estimated Wedding Cost
","$1,317",$456,"$4,323","$5,085","$1,812","$2,235",$447,"$1,654",
325,"How much does a fall wedding in Minneapolis MN with 100 to 150 guests cost? The ceremony is at a church or other place of worship and reception is at an event facility. The type of wedding is Simple, Traditional. The wedding color theme is Blues. The estimated cost for this wedding is $35,052.","
            
                Fall Wedding
                
                
            
        ","
        
            Minneapolis MN
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $280 to the total amount spent.
                    
                    
                
        

        ","
                
                a church or other place of worship
            ","
    	    
            
            
                Simple, Traditional 
            
        ","Event Food Service, Catering, Bar Service",Event Location/Venue,Photography & Video,"
$35,052 is the Estimated Wedding Cost
","$2,726",$386,$189,$278,"$1,069","$6,609","$1,373","$2,280",$491
326,"How much does a fall wedding in Kingston WA with 50 to 100 guests cost? The wedding is at a banquet hall. The type of wedding is Casual, Garden, Experience. The wedding color theme is Greens. The estimated cost for this wedding is $25,322.","
            
                Fall Wedding
                
                
            
        ","
        
            Kingston WA
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $338 to the total amount spent.
                    
                    
                
        

        ","
                
                a banquet hall
            ","
    	    
            
            
                Greens
            
        ",,,,"
$25,322 is the Estimated Wedding Cost
","$2,094",$243,$71,$313,"$1,100","$4,142","$1,595",$206,$310
327,"How much does a summer wedding in Pottstown PA with 100 to 150 guests cost? The type of wedding is Fun, Rustic, Farm/Barn. The wedding color theme is Other. The estimated cost for this wedding is $35,360.","
            
                Summer Wedding
                
                
            
        ","
        
            Pottstown PA
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $283 to the total amount spent.
                    
                    
                
        

        ","
    	    
            
            
                Other
            
        ",,,,,"
$35,360 is the Estimated Wedding Cost
","$2,933",$427,$194,$321,"$1,153","$7,240","$1,483","$2,668",$578
328,"How much does a summer wedding in Seattle with 25 to 50 guests cost? The wedding is at an event facility. The type of wedding is Casual, Romantic, Modern. The wedding color theme is Pinks. The estimated cost for this wedding is $13,890.","
            
                Summer Wedding
                
                
            
        ","
        
            Seattle
            
            
        
    ","
        
        
            
                    This estimate is based on having 38 guests with a range of 25 to 50 guests. Adding a single guest will likely add $366 to the total amount spent.
                    
                    
                
        

        ","
                
                an event facility
            ","
    	    
            
            
                Pinks
            
        ",,,,"
$13,890 is the Estimated Wedding Cost
","$1,993",$150,$191,$320,"$1,374","$3,599","$1,859",$175,$160
329,"How much does a summer wedding in Austin TX with 150 to 200 guests cost? The wedding is at a garden or park. The type of wedding is Elegant, Garden, Simple. The wedding color theme is Greens. The estimated cost for this wedding is $23,391.","
            
                Summer Wedding
                
                
            
        ","
        
            Austin TX
            
            
        
    ","
        
        
            
                    This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $134 to the total amount spent.
                    
                    
                
        

        ","
                
                a garden or park
            ","
    	    
            
            
                Greens
            
        ",,,,"
$23,391 is the Estimated Wedding Cost
",$271,$554,$240,$263,"$6,105","$6,359","$2,551",$838,"$2,565"
330,"How much does a summer wedding in New York NY with less than 25 guests cost? The wedding is at a garden or park. The type of wedding is Garden, Romantic, Experience. The wedding color theme is White. The estimated cost for this wedding is $22,014.","
            
                Summer Wedding
                
                
            
        ","
        
            New York NY
            
            
        
    ","
        
        
            
                    This estimate is based on having 15 guests with a range of less than 25 guests. Adding a single guest will likely add $1,468 to the total amount spent.
                    
                    
                
        

        ","
                
                a garden or park
            ","
    	    
            
            
                White
            
        ",,,,"
$22,014 is the Estimated Wedding Cost
","$2,981",$47,$318,$334,"$2,545",$148,$390,"$6,507","$6,900"
331,"How much does a fall wedding in Atlanta GA with 100 to 150 guests cost? The wedding is at a country club or golf course. The type of wedding is Elegant, Romantic, Vintage. The wedding color theme is Other. The estimated cost for this wedding is $24,738.","
            
                Fall Wedding
                
                
            
        ","
        
            Atlanta GA
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $198 to the total amount spent.
                    
                    
                
        

        ","
                
                a country club or golf course
            ","
    	    
            
            
                Other
            
        ",,,,"
$24,738 is the Estimated Wedding Cost
","$2,817",$450,"$1,070","$4,156","$8,019","$1,611","$3,011",$820,
332,"How much does a spring wedding in Woodbridge VA with 150 to 200 guests cost? The ceremony is at some other location and reception is at a banquet hall. The type of wedding is Elegant, Fun, Theme. The wedding color theme is Greens. The estimated cost for this wedding is $43,677.","
            
                Spring Wedding
                
                
            
        ","
        
            Woodbridge VA
            
            
        
    ","
        
        
            
                    This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $250 to the total amount spent.
                    
                    
                
        

        ","
                
                some other location
            ","
    	    
            
            
                Elegant, Fun, Theme 
            
        ","Entertainment (DJ, Live Band, Musician/s, etc.)","Event Food Service, Catering, Bar Service",Event Location/Venue,"
$43,677 is the Estimated Wedding Cost
","$5,635",$629,$212,$325,"$2,083","$7,510","$2,321","$3,329",$794
333,"How much does a summer wedding in Briarcliff Manor NY with 200 to 300 guests cost? The ceremony is at a church or other place of worship and reception is at a country club or golf course. The type of wedding is Elegant, Romantic, Modern. The wedding color theme is White. The estimated cost for this wedding is $96,367.","
            
                Summer Wedding
                
                
            
        ","
        
            Briarcliff Manor NY
            
            
        
    ","
        
        
            
                    This estimate is based on having 250 guests with a range of 200 to 300 guests. Adding a single guest will likely add $385 to the total amount spent.
                    
                    
                
        

        ","
                
                a church or other place of worship
            ","
    	    
            
            
                Elegant, Romantic, Modern 
            
        ","Attire & Accessories (Wedding Dress, Suit, etc.)",Event Location/Venue,Flowers & Decorations,"
$96,367 is the Estimated Wedding Cost
","$8,293","$1,186",$213,$334,"$10,747","$20,030","$5,900","$1,518","$2,781"
334,"How much does a summer wedding in New Orleans LA with 150 to 200 guests cost? The ceremony is at a church or other place of worship and reception is at an event facility. The type of wedding is Garden, Romantic, Simple. The wedding color theme is Greens. The estimated cost for this wedding is $39,565.","
            
                Summer Wedding
                
                
            
        ","
        
            New Orleans LA
            
            
        
    ","
        
        
            
                    This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $226 to the total amount spent.
                    
                    
                
        

        ","
                
                a church or other place of worship
            ","
    	    
            
            
                Garden, Romantic, Simple 
            
        ","Entertainment (DJ, Live Band, Musician/s, etc.)","Event Food Service, Catering, Bar Service",Flowers & Decorations,"
$39,565 is the Estimated Wedding Cost
","$2,002",$604,$170,$258,"$3,749","$9,934","$2,216","$2,600",$904
335,"How much does a summer wedding in San Carlos CA with 25 to 50 guests cost? The wedding is at a garden or park. The type of wedding is Elegant, Simple, Intimate. The wedding color theme is Silver. The estimated cost for this wedding is $14,303.","
            
                Summer Wedding
                
                
            
        ","
        
            San Carlos CA
            
            
        
    ","
        
        
            
                    This estimate is based on having 38 guests with a range of 25 to 50 guests. Adding a single guest will likely add $376 to the total amount spent.
                    
                    
                
        

        ","
                
                a garden or park
            ","
    	    
            
            
                Silver
            
        ",,,,"
$14,303 is the Estimated Wedding Cost
","$3,609",$339,"$1,524","$5,635",$390,"$2,630",$82,,
336,"How much does a wedding in Brooklyn NY with more than 300 guests cost? The wedding is at a banquet hall. The type of wedding is Casual, Formal, Experience. The wedding color theme is Other. The estimated cost for this wedding is $71,130.","
            
                None specified
                
            
        ","
        
            Brooklyn NY
            
            
        
    ","
        
        
            
                    This estimate is based on having 400 guests with a range of more than 300 guests. Adding a single guest will likely add $178 to the total amount spent.
                    
                    
                
        

        ","
                
                a banquet hall
            ","
    	    
            
            
                Other
            
        ",,,,"
$71,130 is the Estimated Wedding Cost
","$2,568","$2,343",$209,$334,"$23,030","$12,943","$7,338","$3,304","$2,502"
337,"How much does a wedding in Grand Rapids MI with 150 to 200 guests cost? The wedding is at a garden or park. The type of wedding is DIY, Simple, Farm/Barn. The wedding color theme is Purples. The estimated cost for this wedding is $25,113.","
            
                None specified
                
            
        ","
        
            Grand Rapids MI
            
            
        
    ","
        
        
            
                    This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $144 to the total amount spent.
                    
                    
                
        

        ","
                
                a garden or park
            ","
    	    
            
            
                Purples
            
        ",,,,"
$25,113 is the Estimated Wedding Cost
","$1,403",$546,$140,$761,"$8,772","$7,618",$635,$569,"$1,030"
338,"How much does a fall wedding in Austin TX with 200 to 300 guests cost? The wedding is at a farm or barn. The type of wedding is Elegant, Rustic, Modern. The wedding color theme is Greens. The estimated cost for this wedding is $49,548.","
            
                Fall Wedding
                
                
            
        ","
        
            Austin TX
            
            
        
    ","
        
        
            
                    This estimate is based on having 250 guests with a range of 200 to 300 guests. Adding a single guest will likely add $198 to the total amount spent.
                    
                    
                
        

        ","
                
                a farm or barn
            ","
    	    
            
            
                Greens
            
        ",,,,"
$49,548 is the Estimated Wedding Cost
",$441,$883,$263,"$3,121","$14,749","$10,703","$3,449","$1,451","$1,543"
339,"How much does a spring wedding in Bismarck ND with 100 to 150 guests cost? The wedding is at a church or other place of worship. The type of wedding is Formal, Simple, Unique. The wedding color theme is Ivory. The estimated cost for this wedding is $20,280.","
            
                Spring Wedding
                
                
            
        ","
        
            Bismarck ND
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $162 to the total amount spent.
                    
                    
                
        

        ","
                
                a church or other place of worship
            ","
    	    
            
            
                Ivory
            
        ",,,,"
$20,280 is the Estimated Wedding Cost
","$1,937",$421,$156,$256,"$4,298","$4,891","$2,287",$539,$421
340,"How much does a winter wedding in milwaukee with 100 to 150 guests cost? The wedding is at an event facility. The type of wedding is Formal, Fun, Modern. The wedding color theme is Greens. The estimated cost for this wedding is $28,420.","
            
                Winter Wedding
                
                
            
        ","
        
            milwaukee
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $227 to the total amount spent.
                    
                    
                
        

        ","
                
                an event facility
            ","
    	    
            
            
                Greens
            
        ",,,,"
$28,420 is the Estimated Wedding Cost
","$2,265",$410,$245,"$1,438","$6,765","$7,078","$2,242",$359,$894
341,"How much does a winter wedding in Milwaukee WI with 100 to 150 guests cost? The wedding is at an event facility. The type of wedding is Fun, Traditional, Modern. The wedding color theme is Greens. The estimated cost for this wedding is $34,841.","
            
                Winter Wedding
                
                
            
        ","
        
            Milwaukee WI
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $279 to the total amount spent.
                    
                    
                
        

        ","
                
                an event facility
            ","
    	    
            
            
                Greens
            
        ",,,,"
$34,841 is the Estimated Wedding Cost
","$2,204",$378,$258,"$1,554","$6,506","$8,469","$2,273",$328,$875
342,"How much does a wedding in Chicago IL with 100 to 150 guests cost? The wedding is at a historical building. The type of wedding is Vintage, Other, Intimate. The wedding color theme is Other. The estimated cost for this wedding is $25,689.","
            
                None specified
                
            
        ","
        
            Chicago IL
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $206 to the total amount spent.
                    
                    
                
        

        ","
                
                a historical building
            ","
    	    
            
            
                Other
            
        ",,,,"
$25,689 is the Estimated Wedding Cost
","$1,774",$419,$271,"$1,150","$4,624","$9,380","$2,982",$452,"$3,141"
343,"How much does a summer wedding in Greene IA with more than 300 guests cost? The ceremony is at a church or other place of worship and reception is at an event facility. The type of wedding is Fun, Rustic, Experience. The wedding color theme is Other. The estimated cost for this wedding is $64,887.","
            
                Summer Wedding
                
                
            
        ","
        
            Greene IA
            
            
        
    ","
        
        
            
                    This estimate is based on having 400 guests with a range of more than 300 guests. Adding a single guest will likely add $162 to the total amount spent.
                    
                    
                
        

        ","
                
                a church or other place of worship
            ","
    	    
            
            
                Fun, Rustic, Experience 
            
        ","Attire & Accessories (Wedding Dress, Suit, etc.)",Flowers & Decorations,Photography & Video,"
$64,887 is the Estimated Wedding Cost
","$1,544","$2,981",$241,"$28,997","$9,228","$11,242","$1,264","$4,025","$2,248"
344,"How much does a summer wedding in Mendocino CA with 50 to 100 guests cost? The wedding is at the beach. The type of wedding is Fun, Romantic, Unique. The wedding color theme is Yellows. The estimated cost for this wedding is $32,183.","
            
                Summer Wedding
                
                
            
        ","
        
            Mendocino CA
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $429 to the total amount spent.
                    
                    
                
        

        ","
                
                the beach
            ","
    	    
            
            
                Yellows
            
        ",,,,"
$32,183 is the Estimated Wedding Cost
","$3,636",$360,$268,$299,"$3,300","$5,531","$1,294","$2,240",$310
345,"How much does a summer wedding in Mandan ND with 150 to 200 guests cost? The wedding is at an event facility. The type of wedding is Romantic, Unique, Vintage. The wedding color theme is Other. The estimated cost for this wedding is $31,981.","
            
                Summer Wedding
                
                
            
        ","
        
            Mandan ND
            
            
        
    ","
        
        
            
                    This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $183 to the total amount spent.
                    
                    
                
        

        ","
                
                an event facility
            ","
    	    
            
            
                Other
            
        ",,,,"
$31,981 is the Estimated Wedding Cost
","$2,411",$631,$155,$256,$933,"$5,836","$2,263","$2,806",$816
346,"How much does a fall wedding in Houston TX with 200 to 300 guests cost? The wedding is at an event facility. The type of wedding is Fun, Vintage, Modern. The wedding color theme is Greens. The estimated cost for this wedding is $41,417.","
            
                Fall Wedding
                
                
            
        ","
        
            Houston TX
            
            
        
    ","
        
        
            
                    This estimate is based on having 250 guests with a range of 200 to 300 guests. Adding a single guest will likely add $166 to the total amount spent.
                    
                    
                
        

        ","
                
                an event facility
            ","
    	    
            
            
                Greens
            
        ",,,,"
$41,417 is the Estimated Wedding Cost
","$2,043",$253,$271,"$1,512","$9,940","$12,283","$3,579","$1,192",$904
347,"How much does a summer wedding in Hamburg NY with 150 to 200 guests cost? The wedding is at an event facility. The type of wedding is Fun, Rustic, Farm/Barn. The wedding color theme is Greens. The estimated cost for this wedding is $42,363.","
            
                Summer Wedding
                
                
            
        ","
        
            Hamburg NY
            
            
        
    ","
        
        
            
                    This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $242 to the total amount spent.
                    
                    
                
        

        ","
                
                an event facility
            ","
    	    
            
            
                Greens
            
        ",,,,"
$42,363 is the Estimated Wedding Cost
","$3,069",$759,$113,$317,"$1,104","$12,303","$3,149","$3,242",$958
